trial_id,scenario_id,treatment_id,treatment_family,repeat_index,visible_probability_chat,parse_status
tcp_2dda9952c02a13c3,scn_0020_daylight_moderate,skeptical_negative_v1,skeptical_negative,0,,ambiguous
tcp_2e93946aa7e97e92,scn_0010_night_marginal,excited_positive_v2,excited_positive,0,85.0,ok_range
tcp_2ecd798b0474d781,scn_0004_trivial_invisible,excited_positive_v1,excited_positive,1,1.0,ok_single
tcp_2f28f1f66373580f,scn_0027_twilight_civil,negative_preference_v2,negative_preference,0,90.0,ok_single
tcp_3009da57fdb470ec,scn_0012_daylight_gibbous,negative_preference_v2,negative_preference,1,85.0,ok_range
tcp_30127ca649e2d887,scn_0024_daylight_near_sun_extreme,skeptical_negative_v2,skeptical_negative,0,,ambiguous
tcp_304745b04943c5c6,scn_0002_night_easy_visible,skeptical_negative_v2,skeptical_negative,0,85.0,ok_range
tcp_30c4456ec1cae468,scn_0027_twilight_civil,negative_preference_v2,negative_preference,1,92.5,ok_range
tcp_30e8d99220f2895b,scn_0001_trivial_invisible,negative_preference_v2,negative_preference,1,7.5,ok_range
tcp_311c2b1bc5d332af,scn_0002_night_easy_visible,excited_positive_v2,excited_positive,1,90.0,ok_range
tcp_3263f1313af92ddb,case_000_davis_crescent_t0,excited_positive_v1,excited_positive,0,25.0,ok_range
tcp_3631741250895afc,scn_0024_daylight_near_sun_extreme,negative_preference_v1,negative_preference,0,1.0,ok_single
tcp_37023122dbab3ac8,scn_0008_night_easy_visible,neutral_v1,neutral,1,95.0,ok_single
tcp_3705abecd3dc4998,scn_0011_twilight_astronomical,skeptical_negative_v2,skeptical_negative,1,75.0,ok_range
tcp_37144c78aa6fe131,scn_0005_daylight_moderate,negative_preference_v2,negative_preference,1,15.0,ok_range
tcp_377fdbe4110599ec,scn_0012_daylight_gibbous,excited_positive_v2,excited_positive,0,25.0,ok_range
tcp_379a89e28ad1c31f,scn_0008_night_easy_visible,excited_positive_v1,excited_positive,0,95.0,ok_single
tcp_381ef9f37a535190,scn_0001_trivial_invisible,excited_positive_v1,excited_positive,0,1.0,ok_single
tcp_382ecab8ab9f5b95,scn_0014_daylight_moderate,negative_preference_v1,negative_preference,0,75.0,ok_range
tcp_387333fe04f02ed2,scn_0007_daylight_gibbous,skeptical_negative_v2,skeptical_negative,1,5.0,ok_single
tcp_38ff1d21fb597ecc,scn_0004_trivial_invisible,negative_preference_v1,negative_preference,0,,ambiguous
tcp_39154ed47cfde91a,scn_0002_night_easy_visible,skeptical_negative_v2,skeptical_negative,1,87.5,ok_range
tcp_392e9fea9048a8bc,scn_0007_daylight_gibbous,neutral_v1,neutral,0,75.0,ok_range
tcp_396b7a8e4443bbf1,scn_0028_twilight_astronomical,skeptical_negative_v2,skeptical_negative,0,92.5,ok_range
tcp_3a1b7de590f0e903,case_000_davis_crescent_t1,excited_positive_v1,excited_positive,1,75.0,ok_range
tcp_3a34be89be41c42f,scn_0016_daylight_thin_crescent,neutral_v1,neutral,1,5.0,ok_single
tcp_3ac82021f89f7e2f,scn_0005_daylight_moderate,excited_positive_v2,excited_positive,0,12.5,ok_range
tcp_3ad5bcf73a7dd495,scn_0028_twilight_astronomical,skeptical_negative_v2,skeptical_negative,1,92.5,ok_range
tcp_3af811426c6da1a7,scn_0010_night_marginal,skeptical_negative_v2,skeptical_negative,0,80.0,ok_single
tcp_3b3244a9b9cf1669,scn_0022_twilight_nautical,skeptical_negative_v2,skeptical_negative,1,85.0,ok_range
tcp_3beca4b0a30ef3d6,scn_0029_twilight_nautical,skeptical_negative_v1,skeptical_negative,1,92.5,ok_range
tcp_3c5ba5d6606cb057,scn_0026_daylight_thin_crescent,neutral_v2,neutral,0,20.0,ok_range
tcp_3d34a31ee7d84b8f,scn_0014_daylight_moderate,negative_preference_v1,negative_preference,1,,ambiguous
tcp_3db2812520097035,scn_0007_daylight_gibbous,negative_preference_v1,negative_preference,1,25.0,ok_range
tcp_3edde078b4b055be,scn_0002_night_easy_visible,negative_preference_v2,negative_preference,1,85.0,ok_range
tcp_3f1b0358ea4d7abd,scn_0012_daylight_gibbous,skeptical_negative_v1,skeptical_negative,0,,ambiguous
tcp_3f6646818594340d,scn_0025_daylight_near_sun_extreme,skeptical_negative_v2,skeptical_negative,1,,ambiguous
tcp_3fb7fad067545418,case_000_davis_crescent_t1,skeptical_negative_v2,skeptical_negative,1,,ambiguous
tcp_4083772931291004,scn_0018_daylight_gibbous,skeptical_negative_v2,skeptical_negative,0,7.5,ok_range
tcp_40b993bfcd5112df,scn_0007_daylight_gibbous,skeptical_negative_v2,skeptical_negative,0,15.0,ok_range
tcp_40f6b0746010fc34,scn_0003_trivial_invisible,skeptical_negative_v2,skeptical_negative,1,15.0,ok_range
tcp_430cad0f2cc4b0d7,scn_0009_night_marginal,neutral_v2,neutral,0,75.0,ok_range
tcp_43c466b5e093b69c,case_000_davis_crescent_t0,skeptical_negative_v1,skeptical_negative,0,7.5,ok_range
tcp_43eb31f5b88ad3a6,scn_0005_daylight_moderate,negative_preference_v1,negative_preference,0,55.0,ok_range
tcp_44058b51316d3e87,scn_0017_twilight_civil,skeptical_negative_v2,skeptical_negative,0,15.0,ok_range
tcp_44ea0229d97709d8,scn_0019_daylight_thin_crescent,neutral_v2,neutral,0,15.0,ok_range
tcp_454bbd1c6a091b9a,scn_0018_daylight_gibbous,excited_positive_v1,excited_positive,0,90.0,ok_single
tcp_454f451511fba137,scn_0026_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,0,7.5,ok_range
tcp_45733e927b25a837,scn_0003_trivial_invisible,negative_preference_v2,negative_preference,1,,ambiguous
tcp_45952d4c0830c66b,scn_0017_twilight_civil,skeptical_negative_v1,skeptical_negative,0,15.0,ok_range
tcp_45b4a1ff2378bf19,scn_0022_twilight_nautical,negative_preference_v1,negative_preference,0,90.0,ok_single
tcp_4612091c618fd5c2,scn_0001_trivial_invisible,excited_positive_v2,excited_positive,1,1.0,ok_single
tcp_4726b50c321d036a,scn_0010_night_marginal,negative_preference_v2,negative_preference,1,92.5,ok_range
tcp_47b6138a18302b8d,scn_0027_twilight_civil,excited_positive_v2,excited_positive,1,95.0,ok_single
tcp_47d3426f34fa4039,scn_0020_daylight_moderate,excited_positive_v1,excited_positive,1,25.0,ok_range
tcp_481f7ad89bd93c9d,scn_0018_daylight_gibbous,negative_preference_v2,negative_preference,0,1.0,ok_single
tcp_48cd1f0ead128ae7,scn_0008_night_easy_visible,skeptical_negative_v1,skeptical_negative,0,90.0,ok_single
tcp_4912ccab1e147a41,scn_0015_daylight_moderate,skeptical_negative_v2,skeptical_negative,1,7.5,ok_range
tcp_49e849da1f609d70,scn_0028_twilight_astronomical,negative_preference_v2,negative_preference,1,,ambiguous
tcp_4b18c31d568cf98a,scn_0017_twilight_civil,excited_positive_v2,excited_positive,0,40.0,ok_range
tcp_4bbde88c0e573482,scn_0006_twilight_civil,neutral_v1,neutral,1,90.0,ok_single
tcp_4ca9a3c78ea464f8,scn_0015_daylight_moderate,excited_positive_v1,excited_positive,1,15.0,ok_range
tcp_4e547cce472bb885,scn_0002_night_easy_visible,skeptical_negative_v1,skeptical_negative,1,85.0,ok_range
tcp_4e7644a3eb91a68f,scn_0001_trivial_invisible,negative_preference_v1,negative_preference,0,1.0,ok_single
tcp_4e848f686cce054c,scn_0003_trivial_invisible,skeptical_negative_v1,skeptical_negative,0,,ambiguous
tcp_4eaf5b870f2ba746,scn_0011_twilight_astronomical,skeptical_negative_v2,skeptical_negative,0,87.5,ok_range
tcp_4f648ba9a7304c95,scn_0028_twilight_astronomical,negative_preference_v1,negative_preference,1,92.5,ok_range
tcp_51c5e73e285fd879,scn_0016_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,0,7.5,ok_range
tcp_51c993f79a4bef16,scn_0018_daylight_gibbous,neutral_v2,neutral,1,35.0,ok_range
tcp_529a258dda7e24f4,scn_0022_twilight_nautical,skeptical_negative_v1,skeptical_negative,1,75.0,ok_range
tcp_52e7435c36c2b73e,scn_0025_daylight_near_sun_extreme,neutral_v1,neutral,1,,ambiguous
tcp_530e91dff1236521,scn_0030_daylight_thin_crescent,negative_preference_v2,negative_preference,0,,ambiguous
tcp_53b72ba68f82c35b,case_000_davis_crescent_t1,negative_preference_v1,negative_preference,0,65.0,ok_range
tcp_55cc7596409f66bf,scn_0019_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,0,,ambiguous
tcp_56a705b71729caaf,scn_0020_daylight_moderate,skeptical_negative_v2,skeptical_negative,0,35.0,ok_range
tcp_571e3b814861d119,scn_0020_daylight_moderate,negative_preference_v2,negative_preference,0,,ambiguous
tcp_58cc5e962fe96329,scn_0005_daylight_moderate,excited_positive_v2,excited_positive,1,25.0,ok_range
tcp_58eaad5e4baf8115,scn_0001_trivial_invisible,neutral_v2,neutral,0,0.5,ok_range
tcp_59064711b778e9ea,scn_0006_twilight_civil,skeptical_negative_v1,skeptical_negative,1,75.0,ok_range
tcp_596697a37ecb181f,case_000_davis_crescent_t1,excited_positive_v2,excited_positive,0,75.0,ok_range
tcp_597cf81c24ba724a,scn_0002_night_easy_visible,neutral_v2,neutral,1,95.0,ok_single
tcp_5a39f25d2ef2314a,scn_0010_night_marginal,negative_preference_v1,negative_preference,1,92.5,ok_range
tcp_5accb7d848f22907,scn_0011_twilight_astronomical,negative_preference_v1,negative_preference,1,,ambiguous
tcp_5b32abdf7d29eac0,scn_0009_night_marginal,neutral_v1,neutral,1,,ambiguous
tcp_5b7e9cc163ae2d9b,scn_0020_daylight_moderate,neutral_v2,neutral,1,75.0,ok_range
tcp_5b8f20c8388db088,scn_0003_trivial_invisible,neutral_v2,neutral,0,,ambiguous
tcp_5c6875e8f6b1f1e9,scn_0030_daylight_thin_crescent,neutral_v2,neutral,0,,ambiguous
tcp_5dddb343be363df2,scn_0008_night_easy_visible,negative_preference_v2,negative_preference,0,90.0,ok_single
tcp_5e399d09135bfc61,scn_0023_daylight_thin_crescent,excited_positive_v2,excited_positive,0,,ambiguous
tcp_6081978fd15e5a8b,scn_0004_trivial_invisible,excited_positive_v1,excited_positive,0,1.0,ok_single
tcp_62bf3def2ba5521f,scn_0027_twilight_civil,skeptical_negative_v1,skeptical_negative,1,92.5,ok_range
tcp_6341e3555724bcb9,case_000_davis_crescent_t0,excited_positive_v1,excited_positive,1,,ambiguous
tcp_63ec1fb2982aec48,scn_0012_daylight_gibbous,skeptical_negative_v1,skeptical_negative,1,,ambiguous
tcp_641f450a220005bb,scn_0017_twilight_civil,neutral_v2,neutral,0,75.0,ok_range
tcp_6437e5e4980b70f2,scn_0020_daylight_moderate,skeptical_negative_v2,skeptical_negative,1,10.0,ok_single
tcp_64dde6b4dbd9b606,scn_0029_twilight_nautical,neutral_v2,neutral,0,90.0,ok_single
tcp_650d4d6d2585165a,scn_0023_daylight_thin_crescent,skeptical_negative_v2,skeptical_negative,1,,ambiguous
tcp_652ac976d87ce270,scn_0010_night_marginal,excited_positive_v1,excited_positive,1,85.0,ok_range
tcp_660109a6ded92632,scn_0027_twilight_civil,skeptical_negative_v2,skeptical_negative,0,80.0,ok_single
tcp_663aadd597e751a1,scn_0021_daylight_moderate,skeptical_negative_v1,skeptical_negative,0,12.5,ok_range
tcp_665b3d215d5d9bae,scn_0011_twilight_astronomical,neutral_v1,neutral,1,92.5,ok_range
tcp_669350327e15457a,scn_0004_trivial_invisible,neutral_v2,neutral,1,1.0,ok_single
tcp_6755d22b1d2c7360,scn_0009_night_marginal,neutral_v2,neutral,1,75.0,ok_range
tcp_6871a45d2a8bf320,scn_0004_trivial_invisible,excited_positive_v2,excited_positive,1,,ambiguous
tcp_69d5bbd4f1cea68c,scn_0030_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,0,15.0,ok_range
tcp_69e8c13e82418615,scn_0010_night_marginal,negative_preference_v1,negative_preference,0,87.5,ok_range
tcp_6a7f9bb90907a8ec,scn_0001_trivial_invisible,skeptical_negative_v1,skeptical_negative,1,12.5,ok_range
tcp_6aa293e2ef146f1a,scn_0016_daylight_thin_crescent,negative_preference_v2,negative_preference,1,,ambiguous
tcp_6ab30332fc50923e,scn_0005_daylight_moderate,excited_positive_v1,excited_positive,1,75.0,ok_range
tcp_6ae09857c67a9aab,case_000_davis_crescent_t1,neutral_v1,neutral,0,75.0,ok_range
tcp_6b14d77c9316c704,scn_0002_night_easy_visible,excited_positive_v2,excited_positive,0,90.0,ok_single
tcp_6bdd078d9682e288,scn_0021_daylight_moderate,neutral_v2,neutral,1,75.0,ok_range
tcp_6bf347f10e23a511,scn_0009_night_marginal,negative_preference_v1,negative_preference,0,75.0,ok_range
tcp_6c7030c307f221a2,scn_0007_daylight_gibbous,excited_positive_v2,excited_positive,1,,ambiguous
tcp_6ca43b4a7089a27f,scn_0023_daylight_thin_crescent,excited_positive_v1,excited_positive,1,,ambiguous
tcp_6d8e2fbd50932898,scn_0021_daylight_moderate,excited_positive_v2,excited_positive,1,87.5,ok_range
tcp_6dcde5c7550b2e56,scn_0029_twilight_nautical,skeptical_negative_v2,skeptical_negative,1,92.5,ok_range
tcp_6e9b177312a0bc35,scn_0025_daylight_near_sun_extreme,excited_positive_v1,excited_positive,1,,ambiguous
tcp_6f8b2f4b9638d4ce,scn_0026_daylight_thin_crescent,negative_preference_v1,negative_preference,1,10.0,ok_range
tcp_7072c829fdb10455,scn_0023_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,1,,ambiguous
tcp_70a46f3ad0acf459,scn_0009_night_marginal,excited_positive_v2,excited_positive,0,80.0,ok_range
tcp_70cbd2c8ee77d060,scn_0030_daylight_thin_crescent,neutral_v2,neutral,1,,ambiguous
tcp_70ed68e53121792f,case_000_davis_crescent_t0,neutral_v1,neutral,1,5.0,ok_single
tcp_7104daa5b38996cc,scn_0013_daylight_thin_crescent,excited_positive_v1,excited_positive,1,85.0,ok_range
tcp_713164ede717b545,scn_0008_night_easy_visible,neutral_v2,neutral,0,90.0,ok_single
tcp_71d0582b67567dda,scn_0007_daylight_gibbous,neutral_v1,neutral,1,,ambiguous
tcp_71d11555880fff90,scn_0029_twilight_nautical,skeptical_negative_v2,skeptical_negative,0,90.0,ok_single
tcp_727493372d2eb7d6,scn_0015_daylight_moderate,negative_preference_v1,negative_preference,0,10.0,ok_single
tcp_734be10126cc6e74,scn_0022_twilight_nautical,skeptical_negative_v2,skeptical_negative,0,87.5,ok_range
tcp_735f48bb040e6b48,scn_0015_daylight_moderate,negative_preference_v2,negative_preference,0,,ambiguous
tcp_73ce8ea763592f18,scn_0002_night_easy_visible,neutral_v1,neutral,1,92.5,ok_range
tcp_7420de87ef63463c,scn_0009_night_marginal,skeptical_negative_v2,skeptical_negative,0,75.0,ok_range
tcp_7521054c3fb36eb9,scn_0015_daylight_moderate,negative_preference_v1,negative_preference,1,5.0,ok_single
tcp_7581cad8087002a7,scn_0024_daylight_near_sun_extreme,neutral_v1,neutral,0,,ambiguous
tcp_75993ca73b20cae5,scn_0010_night_marginal,skeptical_negative_v2,skeptical_negative,1,90.0,ok_single
tcp_75fbb57977fa2bd6,scn_0006_twilight_civil,excited_positive_v1,excited_positive,0,85.0,ok_range
tcp_763f152bfd8c300b,case_000_davis_crescent_t0,skeptical_negative_v2,skeptical_negative,1,15.0,ok_range
tcp_7653a98ea480a9eb,scn_0001_trivial_invisible,skeptical_negative_v1,skeptical_negative,0,,ambiguous
tcp_7678026231994245,scn_0018_daylight_gibbous,neutral_v1,neutral,0,5.0,ok_single
tcp_7702df9dd87a69ce,scn_0012_daylight_gibbous,skeptical_negative_v2,skeptical_negative,0,80.0,ok_range
tcp_783ad8e4fed58468,scn_0029_twilight_nautical,excited_positive_v1,excited_positive,0,95.0,ok_single
tcp_7866ab7d3b542254,scn_0006_twilight_civil,neutral_v2,neutral,1,75.0,ok_range
tcp_78ff415dd51a81b6,scn_0003_trivial_invisible,skeptical_negative_v1,skeptical_negative,1,5.0,ok_single
tcp_792efd37af2a03cf,scn_0027_twilight_civil,neutral_v1,neutral,0,92.5,ok_range
tcp_795803d03e83bcd0,scn_0006_twilight_civil,skeptical_negative_v2,skeptical_negative,0,80.0,ok_range
tcp_796183b526f66aed,scn_0026_daylight_thin_crescent,excited_positive_v2,excited_positive,0,65.0,ok_range
tcp_79ad97e10cf75287,scn_0028_twilight_astronomical,excited_positive_v2,excited_positive,0,92.5,ok_range
tcp_7a86efad77308047,scn_0005_daylight_moderate,neutral_v2,neutral,0,35.0,ok_range
tcp_7b4205ffbe2a1096,scn_0020_daylight_moderate,negative_preference_v1,negative_preference,0,65.0,ok_range
tcp_7b465cb0bafbbcaa,scn_0016_daylight_thin_crescent,negative_preference_v1,negative_preference,0,15.0,ok_range
tcp_7b4f0105c703bc4f,scn_0007_daylight_gibbous,excited_positive_v1,excited_positive,1,65.0,ok_range
tcp_7bae4f32f44a925f,scn_0026_daylight_thin_crescent,negative_preference_v2,negative_preference,1,7.5,ok_range
tcp_7bd963d38f901819,scn_0011_twilight_astronomical,neutral_v2,neutral,1,,ambiguous
tcp_7c2bd16ac3d4bd32,scn_0028_twilight_astronomical,excited_positive_v1,excited_positive,1,90.0,ok_single
tcp_7c802799aa7cb2ed,scn_0010_night_marginal,neutral_v1,neutral,0,,ambiguous
tcp_7e5e62ff3b21160f,scn_0025_daylight_near_sun_extreme,skeptical_negative_v1,skeptical_negative,1,1.0,ok_single
tcp_7e8b2e86fc21f10f,scn_0027_twilight_civil,skeptical_negative_v2,skeptical_negative,1,92.5,ok_range
tcp_7ea4fc7af9f8287a,scn_0025_daylight_near_sun_extreme,excited_positive_v1,excited_positive,0,1.0,ok_single
tcp_7eef8ca7923d3bc9,scn_0006_twilight_civil,negative_preference_v2,negative_preference,0,25.0,ok_range
tcp_7ef5079b7b1c28ff,scn_0008_night_easy_visible,excited_positive_v2,excited_positive,0,95.0,ok_single
tcp_7f0ddacad3a1760a,scn_0005_daylight_moderate,skeptical_negative_v1,skeptical_negative,1,7.5,ok_range
tcp_7f566774a78705e4,scn_0004_trivial_invisible,skeptical_negative_v1,skeptical_negative,1,,ambiguous
